,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
18119,BOL,South America,Bolivia,2020-03-11,2.0,2.0,,,,,0.169,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18120,BOL,South America,Bolivia,2020-03-12,2.0,0.0,,,,,0.169,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18121,BOL,South America,Bolivia,2020-03-13,3.0,1.0,,,,,0.254,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18122,BOL,South America,Bolivia,2020-03-14,10.0,7.0,,,,,0.845,0.592,,,,,,,,,,,,,,,26.0,0.002,,,,,,tests performed,,,,,,,,,,,,,,44.44,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18123,BOL,South America,Bolivia,2020-03-15,10.0,0.0,,,,,0.845,0.0,,,,,,,,,,,,,,7.0,33.0,0.003,0.001,,,,,tests performed,,,,,,,,,,,,,,44.44,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18124,BOL,South America,Bolivia,2020-03-16,11.0,1.0,1.571,,,,0.93,0.085,0.133,,,,,,,,,,,,,12.0,45.0,0.004,0.001,,,,,tests performed,,,,,,,,,,,,,,52.78,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18125,BOL,South America,Bolivia,2020-03-17,11.0,0.0,1.571,,,,0.93,0.0,0.133,,,,,,,,,,,,,5.0,50.0,0.004,0.0,,,,,tests performed,,,,,,,,,,,,,,68.52,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18126,BOL,South America,Bolivia,2020-03-18,12.0,1.0,1.429,,,,1.014,0.085,0.121,,,,,,,,,,,,,1.0,51.0,0.004,0.0,,,,,tests performed,,,,,,,,,,,,,,75.0,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18127,BOL,South America,Bolivia,2020-03-19,12.0,0.0,1.429,,,,1.014,0.0,0.121,,,,,,,,,,,,,33.0,84.0,0.007,0.003,,,,,tests performed,,,,,,,,,,,,,,75.0,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18128,BOL,South America,Bolivia,2020-03-20,15.0,3.0,1.714,,,,1.268,0.254,0.145,,,,,,,,,,,,,27.0,111.0,0.009,0.002,,,,,tests performed,,,,,,,,,,,,,,75.0,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18129,BOL,South America,Bolivia,2020-03-21,19.0,4.0,1.286,,,,1.606,0.338,0.109,,,,,,,,,,,,,,,,,20.0,0.002,0.0643,15.6,tests performed,,,,,,,,,,,,,,86.11,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18130,BOL,South America,Bolivia,2020-03-22,24.0,5.0,2.0,,,,2.028,0.423,0.169,,,,,,,,,,,,,,228.0,0.019,,28.0,0.002,0.0714,14.0,tests performed,,,,,,,,,,,,,,93.52,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18131,BOL,South America,Bolivia,2020-03-23,27.0,3.0,2.286,,,,2.282,0.254,0.193,,,,,,,,,,,,,45.0,273.0,0.023,0.004,33.0,0.003,0.0693,14.4,tests performed,,,,,,,,,,,,,,93.52,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18132,BOL,South America,Bolivia,2020-03-24,29.0,2.0,2.571,,,,2.451,0.169,0.217,,,,,,,,,,,,,,,,,40.0,0.003,0.0643,15.6,tests performed,,,,,,,,,,,,,,93.52,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18133,BOL,South America,Bolivia,2020-03-25,32.0,3.0,2.857,,,,2.704,0.254,0.241,,,,,,,,,,,,,,,,,48.0,0.004,0.0595,16.8,tests performed,,,,,,,,,,,,,,93.52,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18134,BOL,South America,Bolivia,2020-03-26,43.0,11.0,4.429,,,,3.634,0.93,0.374,,,,,,,,,,,,,,442.0,0.037,,51.0,0.004,0.0868,11.5,tests performed,,,,,,,,,,,,,,93.52,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18135,BOL,South America,Bolivia,2020-03-27,61.0,18.0,6.571,,,,5.155,1.521,0.555,,,,,,,,,,,,,,,,,56.0,0.005,0.1173,8.5,tests performed,,,,,,,,,,,,,,93.52,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18136,BOL,South America,Bolivia,2020-03-28,74.0,13.0,7.857,,,,6.254,1.099,0.664,,,,,,,,,,,,,,,,,57.0,0.005,0.1378,7.3,tests performed,,,,,,,,,,,,,,93.52,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18137,BOL,South America,Bolivia,2020-03-29,81.0,7.0,8.143,1.0,1.0,0.143,6.845,0.592,0.688,0.085,0.085,0.012,,,,,,,,,,,,,,58.0,0.005,0.1404,7.1,tests performed,,,,,,,,,,,,,,93.52,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18138,BOL,South America,Bolivia,2020-03-30,97.0,16.0,10.0,4.0,3.0,0.571,8.197,1.352,0.845,0.338,0.254,0.048,,,,,,,,,,,697.0,0.059,,61.0,0.005,0.1639,6.1,tests performed,,,,,,,,,,,,,,93.52,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18139,BOL,South America,Bolivia,2020-03-31,107.0,10.0,11.143,6.0,2.0,0.857,9.043,0.845,0.942,0.507,0.169,0.072,,,,,,,,,,82.0,779.0,0.066,0.007,64.0,0.005,0.1741,5.7,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,749.8,5.79,4.88,63.36550793
18140,BOL,South America,Bolivia,2020-04-01,115.0,8.0,11.857,7.0,1.0,1.0,9.719,0.676,1.002,0.592,0.085,0.085,1.24,,,,,,,,,57.0,836.0,0.071,0.005,64.0,0.005,0.1853,5.4,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18141,BOL,South America,Bolivia,2020-04-02,123.0,8.0,11.429,8.0,1.0,1.143,10.395,0.676,0.966,0.676,0.085,0.097,1.24,,,,,,,,,,,,,76.0,0.006,0.1504,6.6,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18142,BOL,South America,Bolivia,2020-04-03,132.0,9.0,10.143,9.0,1.0,1.286,11.155,0.761,0.857,0.761,0.085,0.109,1.26,,,,,,,,,,1118.0,0.094,,87.0,0.007,0.1166,8.6,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18143,BOL,South America,Bolivia,2020-04-04,139.0,7.0,9.286,10.0,1.0,1.429,11.747,0.592,0.785,0.845,0.085,0.121,1.27,,,,,,,,,,,,,99.0,0.008,0.0938,10.7,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18144,BOL,South America,Bolivia,2020-04-05,157.0,18.0,10.857,10.0,0.0,1.286,13.268,1.521,0.918,0.845,0.0,0.109,1.29,,,,,,,,,,,,,110.0,0.009,0.0987,10.1,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18145,BOL,South America,Bolivia,2020-04-06,183.0,26.0,12.286,11.0,1.0,1.0,15.465,2.197,1.038,0.93,0.085,0.085,1.31,,,,,,,,,,1549.0,0.131,,122.0,0.01,0.1007,9.9,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18146,BOL,South America,Bolivia,2020-04-07,194.0,11.0,12.429,14.0,3.0,1.143,16.395,0.93,1.05,1.183,0.254,0.097,1.32,,,,,,,,,132.0,1681.0,0.142,0.011,129.0,0.011,0.0963,10.4,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18147,BOL,South America,Bolivia,2020-04-08,210.0,16.0,13.571,15.0,1.0,1.143,17.747,1.352,1.147,1.268,0.085,0.097,1.33,,,,,,,,,194.0,1875.0,0.158,0.016,148.0,0.013,0.0917,10.9,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18148,BOL,South America,Bolivia,2020-04-09,264.0,54.0,20.143,18.0,3.0,1.429,22.311,4.564,1.702,1.521,0.254,0.121,1.35,,,,,,,,,122.0,1997.0,0.169,0.01,146.0,0.012,0.138,7.2,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18149,BOL,South America,Bolivia,2020-04-10,268.0,4.0,19.429,19.0,1.0,1.429,22.649,0.338,1.642,1.606,0.085,0.121,1.35,,,,,,,,,188.0,2185.0,0.185,0.016,152.0,0.013,0.1278,7.8,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18150,BOL,South America,Bolivia,2020-04-11,275.0,7.0,19.429,20.0,1.0,1.429,23.24,0.592,1.642,1.69,0.085,0.121,1.36,,,,,,,,,171.0,2356.0,0.199,0.014,156.0,0.013,0.1245,8.0,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18151,BOL,South America,Bolivia,2020-04-12,300.0,25.0,20.429,24.0,4.0,2.0,25.353,2.113,1.726,2.028,0.338,0.169,1.37,,,,,,,,,172.0,2528.0,0.214,0.015,160.0,0.014,0.1277,7.8,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18152,BOL,South America,Bolivia,2020-04-13,330.0,30.0,21.0,27.0,3.0,2.286,27.888,2.535,1.775,2.282,0.254,0.193,1.38,,,,,,,,,,,,,168.0,0.014,0.125,8.0,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18153,BOL,South America,Bolivia,2020-04-14,354.0,24.0,22.857,28.0,1.0,2.0,29.916,2.028,1.932,2.366,0.085,0.169,1.4,,,,,,,,,,2919.0,0.247,,177.0,0.015,0.1291,7.7,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18154,BOL,South America,Bolivia,2020-04-15,397.0,43.0,26.714,28.0,0.0,1.857,33.55,3.634,2.258,2.366,0.0,0.157,1.41,,,,,,,,,311.0,3230.0,0.273,0.026,194.0,0.016,0.1377,7.3,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18155,BOL,South America,Bolivia,2020-04-16,441.0,44.0,25.286,29.0,1.0,1.571,37.269,3.718,2.137,2.451,0.085,0.133,1.41,,,,,,,,,189.0,3419.0,0.289,0.016,203.0,0.017,0.1246,8.0,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18156,BOL,South America,Bolivia,2020-04-17,465.0,24.0,28.143,31.0,2.0,1.714,39.297,2.028,2.378,2.62,0.169,0.145,1.41,,,,,,,,,154.0,3573.0,0.302,0.013,198.0,0.017,0.1421,7.0,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18157,BOL,South America,Bolivia,2020-04-18,493.0,28.0,31.143,31.0,0.0,1.571,41.663,2.366,2.632,2.62,0.0,0.133,1.42,,,,,,,,,350.0,3923.0,0.332,0.03,224.0,0.019,0.139,7.2,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18158,BOL,South America,Bolivia,2020-04-19,520.0,27.0,31.429,32.0,1.0,1.143,43.945,2.282,2.656,2.704,0.085,0.097,1.43,,,,,,,,,212.0,4135.0,0.349,0.018,230.0,0.019,0.1366,7.3,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18159,BOL,South America,Bolivia,2020-04-20,564.0,44.0,33.429,33.0,1.0,0.857,47.664,3.718,2.825,2.789,0.085,0.072,1.44,,,,,,,,,163.0,4298.0,0.363,0.014,225.0,0.019,0.1486,6.7,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18160,BOL,South America,Bolivia,2020-04-21,598.0,34.0,34.857,34.0,1.0,0.857,50.537,2.873,2.946,2.873,0.085,0.072,1.46,,,,,,,,,122.0,4420.0,0.374,0.01,214.0,0.018,0.1629,6.1,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18161,BOL,South America,Bolivia,2020-04-22,609.0,11.0,30.286,37.0,3.0,1.286,51.467,0.93,2.559,3.127,0.254,0.109,1.47,,,,,,,,,435.0,4855.0,0.41,0.037,232.0,0.02,0.1305,7.7,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18162,BOL,South America,Bolivia,2020-04-23,703.0,94.0,37.429,43.0,6.0,2.0,59.41,7.944,3.163,3.634,0.507,0.169,1.49,,,,,,,,,140.0,4995.0,0.422,0.012,225.0,0.019,0.1664,6.0,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18163,BOL,South America,Bolivia,2020-04-24,807.0,104.0,48.857,44.0,1.0,1.857,68.199,8.789,4.129,3.718,0.085,0.157,1.49,,,,,,,,,302.0,5297.0,0.448,0.026,246.0,0.021,0.1986,5.0,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18164,BOL,South America,Bolivia,2020-04-25,866.0,59.0,53.286,46.0,2.0,2.143,73.186,4.986,4.503,3.887,0.169,0.181,1.49,,,,,,,,,275.0,5572.0,0.471,0.023,236.0,0.02,0.2258,4.4,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18165,BOL,South America,Bolivia,2020-04-26,950.0,84.0,61.429,50.0,4.0,2.571,80.284,7.099,5.191,4.225,0.338,0.217,1.49,,,,,,,,,219.0,5791.0,0.489,0.019,237.0,0.02,0.2592,3.9,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18166,BOL,South America,Bolivia,2020-04-27,1014.0,64.0,64.286,53.0,3.0,2.857,85.693,5.409,5.433,4.479,0.254,0.241,1.48,,,,,,,,,197.0,5988.0,0.506,0.017,241.0,0.02,0.2667,3.7,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18167,BOL,South America,Bolivia,2020-04-28,1053.0,39.0,65.0,55.0,2.0,3.0,88.989,3.296,5.493,4.648,0.169,0.254,1.48,,,,,,,,,133.0,6121.0,0.517,0.011,243.0,0.021,0.2675,3.7,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18168,BOL,South America,Bolivia,2020-04-29,1110.0,57.0,71.571,59.0,4.0,3.143,93.806,4.817,6.048,4.986,0.338,0.266,1.48,,,,,,,,,,,,,212.0,0.018,0.3376,3.0,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18169,BOL,South America,Bolivia,2020-04-30,1167.0,57.0,66.286,62.0,3.0,2.714,98.623,4.817,5.602,5.24,0.254,0.229,1.49,,,,,,,,,,6551.0,0.554,,222.0,0.019,0.2986,3.3,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,-439.2,-2.56,-28.23,-37.11673924
18170,BOL,South America,Bolivia,2020-05-01,1229.0,62.0,60.286,66.0,4.0,3.143,103.863,5.24,5.095,5.578,0.338,0.266,1.5,,,,,,,,,424.0,6975.0,0.589,0.036,240.0,0.02,0.2512,4.0,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18171,BOL,South America,Bolivia,2020-05-02,1470.0,241.0,86.286,71.0,5.0,3.571,124.23,20.367,7.292,6.0,0.423,0.302,1.51,,,,,,,,,676.0,7651.0,0.647,0.057,297.0,0.025,0.2905,3.4,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18172,BOL,South America,Bolivia,2020-05-03,1594.0,124.0,92.0,76.0,5.0,3.714,134.709,10.479,7.775,6.423,0.423,0.314,1.5,,,,,,,,,429.0,8080.0,0.683,0.036,327.0,0.028,0.2813,3.6,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18173,BOL,South America,Bolivia,2020-05-04,1681.0,87.0,95.286,82.0,6.0,4.143,142.061,7.352,8.053,6.93,0.507,0.35,1.49,,,,,,,,,531.0,8611.0,0.728,0.045,375.0,0.032,0.2541,3.9,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18174,BOL,South America,Bolivia,2020-05-05,1802.0,121.0,107.0,86.0,4.0,4.429,152.287,10.226,9.043,7.268,0.338,0.374,1.49,,,,,,,,,384.0,8995.0,0.76,0.032,411.0,0.035,0.2603,3.8,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18175,BOL,South America,Bolivia,2020-05-06,1886.0,84.0,110.857,91.0,5.0,4.571,159.386,7.099,9.369,7.69,0.423,0.386,1.48,,,,,,,,,161.0,9156.0,0.774,0.014,403.0,0.034,0.2751,3.6,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18176,BOL,South America,Bolivia,2020-05-07,2081.0,195.0,130.571,102.0,11.0,5.714,175.865,16.479,11.035,8.62,0.93,0.483,1.48,,,,,,,,,943.0,10099.0,0.853,0.08,507.0,0.043,0.2575,3.9,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18177,BOL,South America,Bolivia,2020-05-08,2266.0,185.0,148.143,106.0,4.0,5.714,191.499,15.634,12.52,8.958,0.338,0.483,1.47,,,,,,,,,407.0,10506.0,0.888,0.034,504.0,0.043,0.2939,3.4,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18178,BOL,South America,Bolivia,2020-05-09,2437.0,171.0,138.143,114.0,8.0,6.143,205.951,14.451,11.674,9.634,0.676,0.519,1.46,,,,,,,,,489.0,10995.0,0.929,0.041,478.0,0.04,0.289,3.5,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18179,BOL,South America,Bolivia,2020-05-10,2556.0,119.0,137.429,118.0,4.0,6.0,216.007,10.057,11.614,9.972,0.338,0.507,1.46,,,,,,,,,518.0,11513.0,0.973,0.044,490.0,0.041,0.2805,3.6,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18180,BOL,South America,Bolivia,2020-05-11,2831.0,275.0,164.286,122.0,4.0,5.714,239.247,23.24,13.884,10.31,0.338,0.483,1.45,,,,,,,,,855.0,12368.0,1.045,0.072,537.0,0.045,0.3059,3.3,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18181,BOL,South America,Bolivia,2020-05-12,2964.0,133.0,166.0,128.0,6.0,6.0,250.487,11.24,14.029,10.817,0.507,0.507,1.44,,,,,,,,,596.0,12964.0,1.096,0.05,567.0,0.048,0.2928,3.4,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18182,BOL,South America,Bolivia,2020-05-13,3148.0,184.0,180.286,142.0,14.0,7.286,266.037,15.55,15.236,12.0,1.183,0.616,1.44,,,,,,,,,547.0,13511.0,1.142,0.046,622.0,0.053,0.2898,3.5,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18183,BOL,South America,Bolivia,2020-05-14,3372.0,224.0,184.429,152.0,10.0,7.143,284.967,18.93,15.586,12.846,0.845,0.604,1.43,,,,,,,,,546.0,14057.0,1.188,0.046,565.0,0.048,0.3264,3.1,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18184,BOL,South America,Bolivia,2020-05-15,3577.0,205.0,187.286,164.0,12.0,8.286,302.292,17.325,15.827,13.86,1.014,0.7,1.43,,,,,,,,,697.0,14754.0,1.247,0.059,607.0,0.051,0.3085,3.2,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18185,BOL,South America,Bolivia,2020-05-16,3826.0,249.0,198.429,165.0,1.0,7.286,323.335,21.043,16.769,13.944,0.085,0.616,1.42,,,,,,,,,804.0,15558.0,1.315,0.068,652.0,0.055,0.3043,3.3,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18186,BOL,South America,Bolivia,2020-05-17,4088.0,262.0,218.857,169.0,4.0,7.286,345.476,22.142,18.496,14.282,0.338,0.616,1.42,,,,,,,,,708.0,16266.0,1.375,0.06,679.0,0.057,0.3223,3.1,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18187,BOL,South America,Bolivia,2020-05-18,4263.0,175.0,204.571,174.0,5.0,7.429,360.266,14.789,17.288,14.705,0.423,0.628,1.41,,,,,,,,,440.0,16706.0,1.412,0.037,620.0,0.052,0.33,3.0,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
18188,BOL,South America,Bolivia,2020-05-19,4481.0,218.0,216.714,189.0,15.0,8.714,378.689,18.423,18.314,15.972,1.268,0.736,1.41,,,,,,,,,751.0,17457.0,1.475,0.063,642.0,0.054,0.3376,3.0,tests performed,,,,,,,,,,,,,,96.3,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
